x,y
-15.000000,735528908.806225
-14.970000,710938436.532400
-14.940000,687164562.542344
-14.910000,664180333.758475
-14.880000,641959681.839993
-14.850000,620477394.286592
-14.820000,599709086.481644
-14.790000,579631174.644420
-14.760000,560220849.661942
-14.730000,541456051.771965
-14.700000,523315446.069514
-14.670000,505778398.810331
-14.640000,488824954.485369
-14.610000,472435813.641391
-14.580000,456592311.423475
-14.550000,441276396.816032
-14.520000,426470612.559694
-14.490000,412158075.722177
-14.460000,398322458.901890
-14.430000,384947972.043790
-14.400000,372019344.847625
-14.370000,359521809.749347
-14.340000,347441085.457104
-14.310000,335763361.023816
-14.280000,324475280.438925
-14.250000,313563927.722476
-14.220000,303016812.505213
-14.190000,292821856.078919
-14.160000,282967377.901748
-14.130000,273442082.543737
-14.100000,264235047.058252
-14.070000,255335708.765494
-14.040000,246733853.434698
-14.010000,238419603.852076
-13.980000,230383408.761954
-13.950000,222616032.168991
-13.920000,215108542.989738
-13.890000,207852305.042174
-13.860000,200838967.362252
-13.830000,194060454.836790
-13.800000,187508959.142458
-13.770000,181176929.980864
-13.740000,175057066.600148
-13.710000,169142309.593731
-13.680000,163425832.967212
-13.650000,157901036.464697
-13.620000,152561538.146095
-13.590000,147401167.207233
-13.560000,142413957.034867
-13.530000,137594138.488946
-13.500000,132936133.404744
-13.470000,128434548.307660
-13.440000,124084168.333806
-13.410000,119879951.349642
-13.380000,115817022.264181
-13.350000,111890667.527506
-13.320000,108096329.809493
-13.290000,104429602.852899
-13.260000,100886226.495104
-13.230000,97462081.853024
-13.200000,94153186.665864
-13.170000,90955690.790561
-13.140000,87865871.844950
-13.110000,84880130.993811
-13.080000,81994988.873150
-13.050000,79207081.648201
-13.020000,76513157.200773
-12.990000,73910071.441732
-12.960000,71394784.744523
-12.930000,68964358.495779
-12.900000,66615951.759206
-12.870000,64346818.049014
-12.840000,62154302.209353
-12.810000,60035837.396253
-12.780000,57988942.158745
-12.750000,56011217.615905
-12.720000,54100344.726690
-12.690000,52254081.649534
-12.660000,50470261.188761
-12.630000,48746788.324986
-12.600000,47081637.826743
-12.570000,45472851.940695
