x,y
-15.000000,-0.000005
-14.970000,-0.000005
-14.940000,-0.000005
-14.910000,-0.000005
-14.880000,-0.000005
-14.850000,-0.000005
-14.820000,-0.000005
-14.790000,-0.000006
-14.760000,-0.000006
-14.730000,-0.000006
-14.700000,-0.000006
-14.670000,-0.000006
-14.640000,-0.000006
-14.610000,-0.000007
-14.580000,-0.000007
-14.550000,-0.000007
-14.520000,-0.000007
-14.490000,-0.000007
-14.460000,-0.000008
-14.430000,-0.000008
-14.400000,-0.000008
-14.370000,-0.000008
-14.340000,-0.000008
-14.310000,-0.000009
-14.280000,-0.000009
-14.250000,-0.000009
-14.220000,-0.000009
-14.190000,-0.000010
-14.160000,-0.000010
-14.130000,-0.000010
-14.100000,-0.000011
-14.070000,-0.000011
-14.040000,-0.000011
-14.010000,-0.000012
-13.980000,-0.000012
-13.950000,-0.000012
-13.920000,-0.000013
-13.890000,-0.000013
-13.860000,-0.000013
-13.830000,-0.000014
-13.800000,-0.000014
-13.770000,-0.000014
-13.740000,-0.000015
-13.710000,-0.000015
-13.680000,-0.000016
-13.650000,-0.000016
-13.620000,-0.000017
-13.590000,-0.000017
-13.560000,-0.000018
-13.530000,-0.000018
-13.500000,-0.000019
-13.470000,-0.000019
-13.440000,-0.000020
-13.410000,-0.000020
-13.380000,-0.000021
-13.350000,-0.000021
-13.320000,-0.000022
-13.290000,-0.000022
-13.260000,-0.000023
-13.230000,-0.000024
-13.200000,-0.000024
-13.170000,-0.000025
-13.140000,-0.000026
-13.110000,-0.000027
-13.080000,-0.000027
-13.050000,-0.000028
-13.020000,-0.000029
-12.990000,-0.000030
-12.960000,-0.000030
-12.930000,-0.000031
-12.900000,-0.000032
-12.870000,-0.000033
-12.840000,-0.000034
-12.810000,-0.000035
-12.780000,-0.000036
-12.750000,-0.000037
-12.720000,-0.000038
-12.690000,-0.000039
-12.660000,-0.000040
-12.630000,-0.000041
-12.600000,-0.000042
-12.570000,-0.000044
-12.540000,-0.000045
-12.510000,-0.000046
-12.480000,-0.000047
-12.450000,-0.000049
-12.420000,-0.000050
-12.390000,-0.000052
-12.360000,-0.000053
-12.330000,-0.000054
-12.300000,-0.000056
-12.270000,-0.000058
-12.240000,-0.000059
-12.210000,-0.000061
-12.180000,-0.000063
-12.150000,-0.000064
-12.120000,-0.000066
-12.090000,-0.000068
-12.060000,-0.000070
-12.030000,-0.000072
-12.000000,-0.000074
-11.970000,-0.000076
-11.940000,-0.000078
-11.910000,-0.000080
-11.880000,-0.000082
-11.850000,-0.000085
-11.820000,-0.000087
-11.790000,-0.000089
-11.760000,-0.000092
-11.730000,-0.000094
-11.700000,-0.000097
-11.670000,-0.000100
-11.640000,-0.000103
-11.610000,-0.000105
-11.580000,-0.000108
-11.550000,-0.000111
-11.520000,-0.000114
-11.490000,-0.000118
-11.460000,-0.000121
-11.430000,-0.000124
-11.400000,-0.000128
-11.370000,-0.000131
-11.340000,-0.000135
-11.310000,-0.000139
-11.280000,-0.000142
-11.250000,-0.000146
-11.220000,-0.000150
-11.190000,-0.000155
-11.160000,-0.000159
-11.130000,-0.000163
-11.100000,-0.000168
-11.070000,-0.000172
-11.040000,-0.000177
-11.010000,-0.000182
-10.980000,-0.000187
-10.950000,-0.000192
-10.920000,-0.000198
-10.890000,-0.000203
-10.860000,-0.000209
-10.830000,-0.000214
-10.800000,-0.000220
-10.770000,-0.000226
-10.740000,-0.000233
-10.710000,-0.000239
-10.680000,-0.000246
-10.650000,-0.000252
-10.620000,-0.000259
-10.590000,-0.000267
-10.560000,-0.000274
-10.530000,-0.000281
-10.500000,-0.000289
-10.470000,-0.000297
-10.440000,-0.000305
-10.410000,-0.000314
-10.380000,-0.000322
-10.350000,-0.000331
-10.320000,-0.000340
-10.290000,-0.000350
-10.260000,-0.000359
-10.230000,-0.000369
-10.200000,-0.000379
-10.170000,-0.000390
-10.140000,-0.000400
-10.110000,-0.000411
-10.080000,-0.000422
-10.050000,-0.000434
-10.020000,-0.000446
-9.990000,-0.000458
-9.960000,-0.000471
-9.930000,-0.000484
-9.900000,-0.000497
-9.870000,-0.000510
-9.840000,-0.000524
-9.810000,-0.000539
-9.780000,-0.000553
-9.750000,-0.000568
-9.720000,-0.000584
-9.690000,-0.000600
-9.660000,-0.000616
-9.630000,-0.000633
-9.600000,-0.000650
-9.570000,-0.000668
-9.540000,-0.000686
-9.510000,-0.000705
-9.480000,-0.000724
-9.450000,-0.000744
-9.420000,-0.000764
-9.390000,-0.000785
-9.360000,-0.000806
-9.330000,-0.000828
-9.300000,-0.000850
-9.270000,-0.000873
-9.240000,-0.000897
-9.210000,-0.000921
-9.180000,-0.000946
-9.150000,-0.000972
-9.120000,-0.000998
-9.090000,-0.001025
-9.060000,-0.001053
-9.030000,-0.001081
-9.000000,-0.001111
-8.970000,-0.001141
-8.940000,-0.001172
-8.910000,-0.001203
-8.880000,-0.001236
-8.850000,-0.001269
-8.820000,-0.001303
-8.790000,-0.001338
-8.760000,-0.001374
-8.730000,-0.001411
-8.700000,-0.001449
-8.670000,-0.001488
-8.640000,-0.001528
-8.610000,-0.001569
-8.580000,-0.001612
-8.550000,-0.001655
-8.520000,-0.001699
-8.490000,-0.001745
-8.460000,-0.001792
-8.430000,-0.001840
-8.400000,-0.001889
-8.370000,-0.001939
-8.340000,-0.001991
-8.310000,-0.002045
-8.280000,-0.002099
-8.250000,-0.002155
-8.220000,-0.002213
-8.190000,-0.002272
-8.160000,-0.002333
-8.130000,-0.002395
-8.100000,-0.002459
-8.070000,-0.002524
-8.040000,-0.002591
-8.010000,-0.002660
-7.980000,-0.002731
-7.950000,-0.002804
-7.920000,-0.002878
-7.890000,-0.002955
-7.860000,-0.003033
-7.830000,-0.003113
-7.800000,-0.003196
-7.770000,-0.003281
-7.740000,-0.003367
-7.710000,-0.003457
-7.680000,-0.003548
-7.650000,-0.003642
-7.620000,-0.003738
-7.590000,-0.003837
-7.560000,-0.003938
-7.530000,-0.004042
-7.500000,-0.004148
-7.470000,-0.004257
-7.440000,-0.004369
-7.410000,-0.004484
-7.380000,-0.004602
-7.350000,-0.004723
-7.320000,-0.004847
-7.290000,-0.004974
-7.260000,-0.005105
-7.230000,-0.005238
-7.200000,-0.005375
-7.170000,-0.005516
-7.140000,-0.005660
-7.110000,-0.005808
-7.080000,-0.005960
-7.050000,-0.006115
-7.020000,-0.006275
-6.990000,-0.006438
-6.960000,-0.006606
-6.930000,-0.006778
-6.900000,-0.006954
-6.870000,-0.007134
-6.840000,-0.007320
-6.810000,-0.007509
-6.780000,-0.007704
-6.750000,-0.007903
-6.720000,-0.008108
-6.690000,-0.008318
-6.660000,-0.008532
-6.630000,-0.008753
-6.600000,-0.008978
-6.570000,-0.009210
-6.540000,-0.009447
-6.510000,-0.009690
-6.480000,-0.009939
-6.450000,-0.010194
-6.420000,-0.010456
-6.390000,-0.010724
-6.360000,-0.010999
-6.330000,-0.011280
-6.300000,-0.011569
-6.270000,-0.011864
-6.240000,-0.012167
-6.210000,-0.012477
-6.180000,-0.012795
-6.150000,-0.013121
-6.120000,-0.013455
-6.090000,-0.013796
-6.060000,-0.014146
-6.030000,-0.014505
-6.000000,-0.014873
-5.970000,-0.015249
-5.940000,-0.015634
-5.910000,-0.016029
-5.880000,-0.016433
-5.850000,-0.016847
-5.820000,-0.017271
-5.790000,-0.017706
-5.760000,-0.018150
-5.730000,-0.018606
-5.700000,-0.019072
-5.670000,-0.019549
-5.640000,-0.020038
-5.610000,-0.020539
-5.580000,-0.021051
-5.550000,-0.021575
-5.520000,-0.022112
-5.490000,-0.022662
-5.460000,-0.023224
-5.430000,-0.023800
-5.400000,-0.024390
-5.370000,-0.024993
-5.340000,-0.025610
-5.310000,-0.026242
-5.280000,-0.026888
-5.250000,-0.027549
-5.220000,-0.028226
-5.190000,-0.028919
-5.160000,-0.029627
-5.130000,-0.030352
-5.100000,-0.031093
-5.070000,-0.031852
-5.040000,-0.032628
-5.010000,-0.033421
-4.980000,-0.034233
-4.950000,-0.035063
-4.920000,-0.035912
-4.890000,-0.036780
-4.860000,-0.037667
-4.830000,-0.038575
-4.800000,-0.039503
-4.770000,-0.040451
-4.740000,-0.041421
-4.710000,-0.042413
-4.680000,-0.043426
-4.650000,-0.044461
-4.620000,-0.045520
-4.590000,-0.046602
-4.560000,-0.047707
-4.530000,-0.048836
-4.500000,-0.049990
-4.470000,-0.051170
-4.440000,-0.052374
-4.410000,-0.053604
-4.380000,-0.054861
-4.350000,-0.056145
-4.320000,-0.057455
-4.290000,-0.058794
-4.260000,-0.060161
-4.230000,-0.061557
-4.200000,-0.062981
-4.170000,-0.064436
-4.140000,-0.065921
-4.110000,-0.067436
-4.080000,-0.068982
-4.050000,-0.070561
-4.020000,-0.072171
-3.990000,-0.073814
-3.960000,-0.075490
-3.930000,-0.077200
-3.900000,-0.078943
-3.870000,-0.080722
-3.840000,-0.082535
-3.810000,-0.084385
-3.780000,-0.086270
-3.750000,-0.088192
-3.720000,-0.090150
-3.690000,-0.092147
-3.660000,-0.094181
-3.630000,-0.096254
-3.600000,-0.098365
-3.570000,-0.100516
-3.540000,-0.102707
-3.510000,-0.104938
-3.480000,-0.107210
-3.450000,-0.109522
-3.420000,-0.111877
-3.390000,-0.114272
-3.360000,-0.116710
-3.330000,-0.119191
-3.300000,-0.121714
-3.270000,-0.124281
-3.240000,-0.126891
-3.210000,-0.129545
-3.180000,-0.132242
-3.150000,-0.134984
-3.120000,-0.137770
-3.090000,-0.140601
-3.060000,-0.143476
-3.030000,-0.146396
-3.000000,-0.149361
-2.970000,-0.152371
-2.940000,-0.155425
-2.910000,-0.158524
-2.880000,-0.161668
-2.850000,-0.164856
-2.820000,-0.168089
-2.790000,-0.171365
-2.760000,-0.174685
-2.730000,-0.178049
-2.700000,-0.181455
-2.670000,-0.184903
-2.640000,-0.188394
-2.610000,-0.191925
-2.580000,-0.195497
-2.550000,-0.199108
-2.520000,-0.202758
-2.490000,-0.206446
-2.460000,-0.210170
-2.430000,-0.213930
-2.400000,-0.217723
-2.370000,-0.221549
-2.340000,-0.225407
-2.310000,-0.229293
-2.280000,-0.233208
-2.250000,-0.237148
-2.220000,-0.241112
-2.190000,-0.245098
-2.160000,-0.249102
-2.130000,-0.253123
-2.100000,-0.257158
-2.070000,-0.261205
-2.040000,-0.265259
-2.010000,-0.269317
-1.980000,-0.273377
-1.950000,-0.277434
-1.920000,-0.281485
-1.890000,-0.285526
-1.860000,-0.289551
-1.830000,-0.293557
-1.800000,-0.297538
-1.770000,-0.301489
-1.740000,-0.305405
-1.710000,-0.309281
-1.680000,-0.313108
-1.650000,-0.316882
-1.620000,-0.320596
-1.590000,-0.324242
-1.560000,-0.327812
-1.530000,-0.331300
-1.500000,-0.334695
-1.470000,-0.337990
-1.440000,-0.341176
-1.410000,-0.344242
-1.380000,-0.347178
-1.350000,-0.349974
-1.320000,-0.352619
-1.290000,-0.355099
-1.260000,-0.357404
-1.230000,-0.359520
-1.200000,-0.361433
-1.170000,-0.363129
-1.140000,-0.364594
-1.110000,-0.365810
-1.080000,-0.366763
-1.050000,-0.367435
-1.020000,-0.367807
-0.990000,-0.367861
-0.960000,-0.367577
-0.930000,-0.366935
-0.900000,-0.365913
-0.870000,-0.364488
-0.840000,-0.362637
-0.810000,-0.360335
-0.780000,-0.357557
-0.750000,-0.354275
-0.720000,-0.350462
-0.690000,-0.346087
-0.660000,-0.341122
-0.630000,-0.335533
-0.600000,-0.329287
-0.570000,-0.322350
-0.540000,-0.314684
-0.510000,-0.306253
-0.480000,-0.297016
-0.450000,-0.286933
-0.420000,-0.275960
-0.390000,-0.264052
-0.360000,-0.251163
-0.330000,-0.237245
-0.300000,-0.222245
-0.270000,-0.206112
-0.240000,-0.188791
-0.210000,-0.170223
-0.180000,-0.150349
-0.150000,-0.129106
-0.120000,-0.106430
-0.090000,-0.082254
-0.060000,-0.056506
-0.030000,-0.029113
0.000000,0.000000
0.030000,0.030914
0.060000,0.063710
0.090000,0.098476
0.120000,0.135300
0.150000,0.174275
0.180000,0.215499
0.210000,0.259072
0.240000,0.305100
0.270000,0.353690
